question_id,knowledge_point,reviewer_code,answer_correct,prompt_unambiguous,accepted_answers_complete,scaffold_safe,visual_correct,age_appropriate,status,notes
G1V2-U7-KP01-V08,图形规律和数字规律,,,,,,,,pending,
G1V2-U7-KP01-V09,图形规律和数字规律,,,,,,,,pending,
G1V2-U7-KP01-V10,图形规律和数字规律,,,,,,,,pending,
G2V1-U1-KP01-T,厘米、米与长度测量,,,,,,,,pending,
G2V1-U1-KP01-V01,厘米、米与长度测量,,,,,,,,pending,
G2V1-U1-KP01-V02,厘米、米与长度测量,,,,,,,,pending,
G2V1-U1-KP01-V03,厘米、米与长度测量,,,,,,,,pending,
G2V1-U1-KP01-V04,厘米、米与长度测量,,,,,,,,pending,
G2V1-U1-KP01-V05,厘米、米与长度测量,,,,,,,,pending,
G2V1-U1-KP01-V06,厘米、米与长度测量,,,,,,,,pending,
G2V1-U1-KP01-V07,厘米、米与长度测量,,,,,,,,pending,
G2V1-U1-KP01-V08,厘米、米与长度测量,,,,,,,,pending,
G2V1-U1-KP01-V09,厘米、米与长度测量,,,,,,,,pending,
G2V1-U1-KP01-V10,厘米、米与长度测量,,,,,,,,pending,
G2V1-U2-KP01-T,两位数加减法笔算,,,,,,,,pending,
G2V1-U2-KP01-V01,两位数加减法笔算,,,,,,,,pending,
G2V1-U2-KP01-V02,两位数加减法笔算,,,,,,,,pending,
G2V1-U2-KP01-V03,两位数加减法笔算,,,,,,,,pending,
G2V1-U2-KP01-V04,两位数加减法笔算,,,,,,,,pending,
G2V1-U2-KP01-V05,两位数加减法笔算,,,,,,,,pending,
G2V1-U2-KP01-V06,两位数加减法笔算,,,,,,,,pending,
G2V1-U2-KP01-V07,两位数加减法笔算,,,,,,,,pending,
G2V1-U2-KP01-V08,两位数加减法笔算,,,,,,,,pending,
G2V1-U2-KP01-V09,两位数加减法笔算,,,,,,,,pending,
G2V1-U2-KP01-V10,两位数加减法笔算,,,,,,,,pending,
G2V1-U2-KP02-T,连续运算与比较问题,,,,,,,,pending,
G2V1-U2-KP02-V01,连续运算与比较问题,,,,,,,,pending,
G2V1-U2-KP02-V02,连续运算与比较问题,,,,,,,,pending,
G2V1-U2-KP02-V03,连续运算与比较问题,,,,,,,,pending,
G2V1-U2-KP02-V04,连续运算与比较问题,,,,,,,,pending,
G2V1-U2-KP02-V05,连续运算与比较问题,,,,,,,,pending,
G2V1-U2-KP02-V06,连续运算与比较问题,,,,,,,,pending,
G2V1-U2-KP02-V07,连续运算与比较问题,,,,,,,,pending,
G2V1-U2-KP02-V08,连续运算与比较问题,,,,,,,,pending,
G2V1-U2-KP02-V09,连续运算与比较问题,,,,,,,,pending,
G2V1-U2-KP02-V10,连续运算与比较问题,,,,,,,,pending,
G2V1-U3-KP01-T,角的特征与大小判断,,,,,,,,pending,
G2V1-U3-KP01-V01,角的特征与大小判断,,,,,,,,pending,
G2V1-U3-KP01-V02,角的特征与大小判断,,,,,,,,pending,
G2V1-U3-KP01-V03,角的特征与大小判断,,,,,,,,pending,
G2V1-U3-KP01-V04,角的特征与大小判断,,,,,,,,pending,
G2V1-U3-KP01-V05,角的特征与大小判断,,,,,,,,pending,
G2V1-U3-KP01-V06,角的特征与大小判断,,,,,,,,pending,
G2V1-U3-KP01-V07,角的特征与大小判断,,,,,,,,pending,
G2V1-U3-KP01-V08,角的特征与大小判断,,,,,,,,pending,
G2V1-U3-KP01-V09,角的特征与大小判断,,,,,,,,pending,
G2V1-U3-KP01-V10,角的特征与大小判断,,,,,,,,pending,
G2V1-U4-KP01-T,乘法意义和口诀应用,,,,,,,,pending,
G2V1-U4-KP01-V01,乘法意义和口诀应用,,,,,,,,pending,
G2V1-U4-KP01-V02,乘法意义和口诀应用,,,,,,,,pending,
G2V1-U4-KP01-V03,乘法意义和口诀应用,,,,,,,,pending,
G2V1-U4-KP01-V04,乘法意义和口诀应用,,,,,,,,pending,
G2V1-U4-KP01-V05,乘法意义和口诀应用,,,,,,,,pending,
G2V1-U4-KP01-V06,乘法意义和口诀应用,,,,,,,,pending,
G2V1-U4-KP01-V07,乘法意义和口诀应用,,,,,,,,pending,
G2V1-U4-KP01-V08,乘法意义和口诀应用,,,,,,,,pending,
G2V1-U4-KP01-V09,乘法意义和口诀应用,,,,,,,,pending,
G2V1-U4-KP01-V10,乘法意义和口诀应用,,,,,,,,pending,
G2V1-U4-KP02-T,乘加、乘减与应用,,,,,,,,pending,
G2V1-U4-KP02-V01,乘加、乘减与应用,,,,,,,,pending,
G2V1-U4-KP02-V02,乘加、乘减与应用,,,,,,,,pending,
G2V1-U4-KP02-V03,乘加、乘减与应用,,,,,,,,pending,
G2V1-U4-KP02-V04,乘加、乘减与应用,,,,,,,,pending,
G2V1-U4-KP02-V05,乘加、乘减与应用,,,,,,,,pending,
G2V1-U4-KP02-V06,乘加、乘减与应用,,,,,,,,pending,
G2V1-U4-KP02-V07,乘加、乘减与应用,,,,,,,,pending,
G2V1-U4-KP02-V08,乘加、乘减与应用,,,,,,,,pending,
G2V1-U4-KP02-V09,乘加、乘减与应用,,,,,,,,pending,
G2V1-U4-KP02-V10,乘加、乘减与应用,,,,,,,,pending,
G2V1-U5-KP01-T,从不同方向观察物体,,,,,,,,pending,
G2V1-U5-KP01-V01,从不同方向观察物体,,,,,,,,pending,
G2V1-U5-KP01-V02,从不同方向观察物体,,,,,,,,pending,
G2V1-U5-KP01-V03,从不同方向观察物体,,,,,,,,pending,
G2V1-U5-KP01-V04,从不同方向观察物体,,,,,,,,pending,
G2V1-U5-KP01-V05,从不同方向观察物体,,,,,,,,pending,
G2V1-U5-KP01-V06,从不同方向观察物体,,,,,,,,pending,
G2V1-U5-KP01-V07,从不同方向观察物体,,,,,,,,pending,
G2V1-U5-KP01-V08,从不同方向观察物体,,,,,,,,pending,
G2V1-U5-KP01-V09,从不同方向观察物体,,,,,,,,pending,
G2V1-U5-KP01-V10,从不同方向观察物体,,,,,,,,pending,
G2V1-U6-KP01-T,7~9的乘法口诀,,,,,,,,pending,
G2V1-U6-KP01-V01,7~9的乘法口诀,,,,,,,,pending,
G2V1-U6-KP01-V02,7~9的乘法口诀,,,,,,,,pending,
G2V1-U6-KP01-V03,7~9的乘法口诀,,,,,,,,pending,
G2V1-U6-KP01-V04,7~9的乘法口诀,,,,,,,,pending,
G2V1-U6-KP01-V05,7~9的乘法口诀,,,,,,,,pending,
G2V1-U6-KP01-V06,7~9的乘法口诀,,,,,,,,pending,
G2V1-U6-KP01-V07,7~9的乘法口诀,,,,,,,,pending,
G2V1-U6-KP01-V08,7~9的乘法口诀,,,,,,,,pending,
G2V1-U6-KP01-V09,7~9的乘法口诀,,,,,,,,pending,
G2V1-U6-KP01-V10,7~9的乘法口诀,,,,,,,,pending,
G2V1-U7-KP01-T,读钟面和写时间,,,,,,,,pending,
G2V1-U7-KP01-V01,读钟面和写时间,,,,,,,,pending,
G2V1-U7-KP01-V02,读钟面和写时间,,,,,,,,pending,
G2V1-U7-KP01-V03,读钟面和写时间,,,,,,,,pending,
G2V1-U7-KP01-V04,读钟面和写时间,,,,,,,,pending,
G2V1-U7-KP01-V05,读钟面和写时间,,,,,,,,pending,
G2V1-U7-KP01-V06,读钟面和写时间,,,,,,,,pending,
G2V1-U7-KP01-V07,读钟面和写时间,,,,,,,,pending,
G2V1-U7-KP01-V08,读钟面和写时间,,,,,,,,pending,
G2V1-U7-KP01-V09,读钟面和写时间,,,,,,,,pending,
G2V1-U7-KP01-V10,读钟面和写时间,,,,,,,,pending,
G2V1-U7-KP02-T,时间顺序和经过时间,,,,,,,,pending,
G2V1-U7-KP02-V01,时间顺序和经过时间,,,,,,,,pending,
G2V1-U7-KP02-V02,时间顺序和经过时间,,,,,,,,pending,
G2V1-U7-KP02-V03,时间顺序和经过时间,,,,,,,,pending,
G2V1-U7-KP02-V04,时间顺序和经过时间,,,,,,,,pending,
G2V1-U7-KP02-V05,时间顺序和经过时间,,,,,,,,pending,
G2V1-U7-KP02-V06,时间顺序和经过时间,,,,,,,,pending,
G2V1-U7-KP02-V07,时间顺序和经过时间,,,,,,,,pending,
G2V1-U7-KP02-V08,时间顺序和经过时间,,,,,,,,pending,
G2V1-U7-KP02-V09,时间顺序和经过时间,,,,,,,,pending,
G2V1-U7-KP02-V10,时间顺序和经过时间,,,,,,,,pending,
G2V1-U8-KP01-T,简单搭配与排列,,,,,,,,pending,
G2V1-U8-KP01-V01,简单搭配与排列,,,,,,,,pending,
G2V1-U8-KP01-V02,简单搭配与排列,,,,,,,,pending,
G2V1-U8-KP01-V03,简单搭配与排列,,,,,,,,pending,
G2V1-U8-KP01-V04,简单搭配与排列,,,,,,,,pending,
G2V1-U8-KP01-V05,简单搭配与排列,,,,,,,,pending,
G2V1-U8-KP01-V06,简单搭配与排列,,,,,,,,pending,
G2V1-U8-KP01-V07,简单搭配与排列,,,,,,,,pending,
G2V1-U8-KP01-V08,简单搭配与排列,,,,,,,,pending,
G2V1-U8-KP01-V09,简单搭配与排列,,,,,,,,pending,
G2V1-U8-KP01-V10,简单搭配与排列,,,,,,,,pending,
G2V2-U1-KP01-T,调查记录和统计表阅读,,,,,,,,pending,
G2V2-U1-KP01-V01,调查记录和统计表阅读,,,,,,,,pending,
G2V2-U1-KP01-V02,调查记录和统计表阅读,,,,,,,,pending,
G2V2-U1-KP01-V03,调查记录和统计表阅读,,,,,,,,pending,
G2V2-U1-KP01-V04,调查记录和统计表阅读,,,,,,,,pending,
G2V2-U1-KP01-V05,调查记录和统计表阅读,,,,,,,,pending,
G2V2-U1-KP01-V06,调查记录和统计表阅读,,,,,,,,pending,
G2V2-U1-KP01-V07,调查记录和统计表阅读,,,,,,,,pending,
G2V2-U1-KP01-V08,调查记录和统计表阅读,,,,,,,,pending,
G2V2-U1-KP01-V09,调查记录和统计表阅读,,,,,,,,pending,
G2V2-U1-KP01-V10,调查记录和统计表阅读,,,,,,,,pending,
G2V2-U2-KP01-T,平均分和除法意义,,,,,,,,pending,
G2V2-U2-KP01-V01,平均分和除法意义,,,,,,,,pending,
G2V2-U2-KP01-V02,平均分和除法意义,,,,,,,,pending,
G2V2-U2-KP01-V03,平均分和除法意义,,,,,,,,pending,
G2V2-U2-KP01-V04,平均分和除法意义,,,,,,,,pending,
G2V2-U2-KP01-V05,平均分和除法意义,,,,,,,,pending,
G2V2-U2-KP01-V06,平均分和除法意义,,,,,,,,pending,
G2V2-U2-KP01-V07,平均分和除法意义,,,,,,,,pending,
G2V2-U2-KP01-V08,平均分和除法意义,,,,,,,,pending,
G2V2-U2-KP01-V09,平均分和除法意义,,,,,,,,pending,
G2V2-U2-KP01-V10,平均分和除法意义,,,,,,,,pending,
G2V2-U2-KP02-T,用乘法口诀求商,,,,,,,,pending,
G2V2-U2-KP02-V01,用乘法口诀求商,,,,,,,,pending,
G2V2-U2-KP02-V02,用乘法口诀求商,,,,,,,,pending,
G2V2-U2-KP02-V03,用乘法口诀求商,,,,,,,,pending,
G2V2-U2-KP02-V04,用乘法口诀求商,,,,,,,,pending,
G2V2-U2-KP02-V05,用乘法口诀求商,,,,,,,,pending,
G2V2-U2-KP02-V06,用乘法口诀求商,,,,,,,,pending,
G2V2-U2-KP02-V07,用乘法口诀求商,,,,,,,,pending,
G2V2-U2-KP02-V08,用乘法口诀求商,,,,,,,,pending,
G2V2-U2-KP02-V09,用乘法口诀求商,,,,,,,,pending,
G2V2-U2-KP02-V10,用乘法口诀求商,,,,,,,,pending,
G2V2-U3-KP01-T,轴对称、平移和旋转,,,,,,,,pending,
G2V2-U3-KP01-V01,轴对称、平移和旋转,,,,,,,,pending,
G2V2-U3-KP01-V02,轴对称、平移和旋转,,,,,,,,pending,
G2V2-U3-KP01-V03,轴对称、平移和旋转,,,,,,,,pending,
G2V2-U3-KP01-V04,轴对称、平移和旋转,,,,,,,,pending,
